Date,Sport,HRV,RHR,Sleep Hours,Sleep debt,Sleep Consis,Sleep score,Recovery Score,Strain,Normal Power,Bike Duration,IF,TSS,Run Pace,Run IF,Run Duration,Run TSS,Swim Pace,Swim Duration,Swim IF,Swim TSS,Total Duration,Total TSS,Yesterday TSS,2 Day Lag TSS,3 Day Lag TSS,7 Day Rolling TSS,28 Day Rolling TSS,ACR,Max HR,Avg HR,HR/TSS,Pace/HR,Power/HR,RPE/TSS,HR zones 1-3,HR zones 4-5,Mileage,RPE
10/20/2025,"Run, Swim",41,63,9.5,0,52,81,60,11.9,,,0,0,480,0.75,20,15,72,76,,0,100,15,,,,,,,180,123.8,8.253333333,3.877221325,0,0.3,,,,4.5
10/21/2025,CB,33,67,8.7,0,61,83,42,11.1,,,0,0,,,,0,,,,0,55,0,15,,,,,,,,,,,,,,,
10/22/2025,"Run, Swim",34,66,7.7,25.1,59,80,45,16.4,,,0,0,466,0.7725321888,35,27.03862661,60,20,1.166666667,23.33333333,90,50.37195994,0,15,,,,,202,154.9,3.075123544,3.008392511,0,0.1389662028,,,,7
10/23/2025,SH,37,65,7.1,81.1,74,82,48,12.5,,,0,0,,,,0,,,,0,90,0,50.37195994,0,15,,,,,,,,,,,,,
10/24/2025,None,36,67,5.6,125.1,69,69,42,7.9,,,0,0,,,,0,,,,0,0,0,0,50.37195994,0,,,,,,,,,,,,,
10/25/2025,Swim,30,69,3.8,127.8,45,33,17,12,,,0,0,,,,0,70,45,1,45,40,45,0,0,50.37195994,,,,163,127,2.822222222,0,0,0.1666666667,,,,7.5
10/26/2025,None,22,83,5.2,127.8,56,31,13,5.5,,,0,0,,,,0,,,,0,0,0,45,0,0,110.3719599,,,,,,,,,,,10.5,
10/27/2025,"Run, SH",41,66,9,31.1,75,86,70,13.4,,,0,0,405,0.8888888889,17,15.11111111,,,,0,85,15.11111111,0,45,0,110.4830711,,,188,149,9.860294118,2.718120805,0,0.4632352941,2:05,0:25,,7
10/28/2025,None,40,65,10.1,0,62,84,68,5.1,,,0,0,,,,0,,,,0,0,0,15.11111111,0,45,110.4830711,,,,,,,,,,,,
10/29/2025,None,36,64,9.3,0,77,90,53,6,,,0,0,,,,0,,,,0,0,0,0,15.11111111,0,60.11111111,,,,,,,,,,,,
10/30/2025,Run,38,63,7,41.2,74,84,58,14.3,,,0,0,411,0.8759124088,28,24.52554745,,,,0,40,24.52554745,0,0,15.11111111,84.63665856,,,184,139,5.667559524,2.956834532,0,0.3058035714,,,,7.5
10/31/2025,None,17,85,5.7,106.3,63,39,11,6.5,,,0,0,,,,0,,,,0,0,0,24.52554745,0,0,84.63665856,,,,,,,,,,,,
11/1/2025,None,30,74,5.7,88.8,49,72,31,11.6,,,0,0,,,,0,,,,0,0,0,0,24.52554745,0,39.63665856,,,,,,,,,,,,
11/2/2025,None,27,74,6.9,112,65,76,27,4.9,,,0,0,,,,0,,,,0,0,0,0,0,24.52554745,39.63665856,,,,,,,,,,,6.5,
11/3/2025,SH,40,63,6.1,116.7,58,71,57,11.4,,,0,0,,,,0,,,,0,65,0,0,0,0,24.52554745,,,,,,,,,1:09,0:00,,
11/4/2025,None,38,62,10.2,8,56,82,61,4.6,,,0,0,,,,0,,,,0,0,0,0,0,0,24.52554745,,,,,,,,,,,,
11/5/2025,Run,38,62,8.3,0,73,88,61,10.7,,,0,0,500,0.72,25,18,,,,0,35,18,0,0,0,42.52554745,,,178,148,8.222222222,3.378378378,0,0.3888888889,,,,7
11/6/2025,CB,37,62,7.9,14.1,80,90,51,11,,,0,0,,,,0,,,,0,75,0,18,0,0,18,,,,,,,,,,,,
11/7/2025,SH,37,62,7.9,23.5,85,91,52,10.9,,,0,0,,,,0,,,,0,75,0,0,18,0,18,,,,,,,,,,,,
11/8/2025,None,36,63,5.4,98.8,66,73,44,12.3,,,0,0,,,,0,,,,0,0,0,0,0,18,18,,,,,,,,,,,,
11/9/2025,None,28,80,7.8,68,72,61,33,4.4,,,0,0,,,,0,,,,0,0,0,0,0,0,18,,,,,,,,,,,3.1,
11/10/2025,None,44,64,8.3,0,49,80,91,5.5,,,0,0,,,,0,,,,0,0,0,0,0,0,18,,,,,,,,,0:38,0:00,,
11/11/2025,Cb,37,64,9.5,0,53,81,68,10.6,,,0,0,,,,0,,,,0,110,0,0,0,0,18,,,,,,,,,,,,
11/12/2025,"Run, Swim",41,63,6.8,55.9,69,82,80,13,,,0,0,423,0.8510638298,16,13.61702128,79,49,,0,75,13.61702128,0,0,0,13.61702128,,,176,133.5,9.80390625,3.168539326,0,0.440625,,,,6
11/13/2025,None,42,64,7.6,70.3,73,81,82,5.3,,,0,0,,,,0,,,,0,0,0,13.61702128,0,0,13.61702128,,,,,,,,,,,,
11/14/2025,None,38,67,7.5,69,77,80,63,6.8,,,0,0,,,,0,,,,0,0,0,0,13.61702128,0,13.61702128,,,,,,,,,,,,
11/15/2025,Swim,40,66,5.6,109.4,36,66,62,8.4,,,0,0,,,,0,60,45,1.166666667,52.5,45,52.5,0,0,13.61702128,66.11702128,,,159,127,2.419047619,0,0,0.1333333333,,,,7
11/16/2025,"Swim, Run",63,58,6,118.6,57,70,85,14,,,0,0,507,,34,0,60,40,1.166666667,46.66666667,75,46.66666667,52.5,0,0,112.7836879,280.7923064,0.4016623154,191,130.2,2.79,3.894009217,0,0.135,,,8.9,6.3
11/17/2025,"SH, Run",54,62,10.3,8,44,79,89,13.8,,,0,0,453,0.7947019868,35,27.81456954,,,,0,100,27.81456954,46.66666667,52.5,0,140.5982575,293.606876,0.478865684,190,137,4.92547619,3.306569343,0,0.2876190476,3:13,0:10,,8
11/18/2025,CB,42,64,8.6,1.7,56,80,64,10.6,,,0,0,,,,0,,,,0,90,0,27.81456954,46.66666667,52.5,140.5982575,293.606876,0.478865684,,,,,,,,,,
11/19/2025,Run,46,62,8.3,0,69,86,83,8.9,,,0,0,525,0.6857142857,21,14.4,,,,0,20,14.4,0,27.81456954,46.66666667,141.3812362,257.634916,0.5487658209,178,148,10.27777778,3.547297297,0,0.2083333333,,,,3
11/20/2025,None,50,60,9,0,67,85,90,10.2,,,0,0,,,,0,,,,0,0,0,14.4,0,27.81456954,141.3812362,257.634916,0.5487658209,,,,,,,,,,
11/21/2025,SH,31,69,7.1,43.7,70,82,37,10.9,,,0,0,,,,0,,,,0,120,0,0,14.4,0,141.3812362,257.634916,0.5487658209,,,,,,,,,,
11/22/2025,Run,63,58,7.6,55.8,69,82,93,9.1,,,0,0,375,0.96,20,19.2,,,,0,25,19.2,0,0,14.4,108.0812362,231.834916,0.4661991302,187,143,7.447916667,2.622377622,0,0.46875,,,,9
11/23/2025,"Upper, Bike, Pickle",57,61,9.2,0,67,85,88,14.8,215,64,0.8958333333,85.60185185,,,,0,,,,0,350,85.60185185,19.2,0,0,147.0164214,317.4367679,0.4631360833,165,123,1.436884803,0,1.74796748,0.07009194159,,,18,6
11/24/2025,Pickle,43,66,7.4,46.1,67,82,50,7.5,,,0,0,,,,0,,,,0,40,0,85.60185185,19.2,0,119.2018519,302.3256568,0.3942829501,,,,,,,3:51,0:02,,
11/25/2025,None,36,74,8.8,3.1,57,76,22,4,,,0,0,,,,0,,,,0,0,0,0,85.60185185,19.2,119.2018519,302.3256568,0.3942829501,,,,,,,,,,
11/26/2025,Run,37,73,4.5,5.9,27,57,25,8.2,,,0,0,470,0.7659574468,8,6.127659574,,,,0,10,6.127659574,0,0,85.60185185,110.9295114,308.4533164,0.3596314435,179,146,23.82638889,3.219178082,0,0.8159722222,,,,5
11/27/2025,None,37,72,7.1,43.6,44,76,30,4.4,,,0,0,,,,0,,,,0,0,0,6.127659574,0,0,110.9295114,283.9277689,0.3906962389,,,,,,,,,,
11/28/2025,Run,46,65,6.6,0,36,77,72,7.1,,,0,0,305,1.180327869,3,3.540983607,,,,0,10,3.540983607,0,6.127659574,0,114.470495,287.4687525,0.3982015229,174,141,39.81944444,2.163120567,0,0.8472222222,,,,3
11/29/2025,None,48,65,6,64.3,53,77,71,10.9,,,0,0,,,,0,,,,0,0,0,3.540983607,0,6.127659574,95.27049503,287.4687525,0.331411655,,,,,,,,,,
11/30/2025,None,46,68,8.8,21.3,49,79,69,4.3,,,0,0,,,,0,,,,0,0,0,0,3.540983607,0,9.668643181,287.4687525,0.03363371878,,,,,,,,,1.5,
12/1/2025,"SH, Bike",59,59,8.6,0,52,81,96,13.8,120,59,0.5,24.58333333,,,,0,,,,0,130,24.58333333,0,0,3.540983607,34.25197651,312.0520858,0.1097636519,162,138,5.613559322,0,0.8695652174,0.2644067797,1:23,0:00,,6.5
12/2/2025,"CB, Run, Swim",47,62,9.1,0,69,86,66,15.3,,,0,0,630,0.5714285714,21,12,75,64,,0,155,12,24.58333333,0,0,46.25197651,324.0520858,0.1427300688,184,139,11.55833333,4.542177361,0,0.525,,,,6.3
12/3/2025,"Legs, Bike, Swim",41,62,8.2,17.9,81,90,49,16,175,35,0.7291666667,31.01490162,,,,0,78,55,,0,170,31.01490162,12,24.58333333,0,71.13921856,337.0669875,0.2110536517,182,136,4.368867638,0,1.291512915,0.2095766764,,,,6.5
12/4/2025,None,36,63,7.2,70.1,76,83,36,7.5,,,0,0,,,,0,,,,0,0,0,31.01490162,12,24.58333333,71.13921856,337.0669875,0.2110536517,,,,,,,,,,
12/5/2025,"SH, Bike",34,77,6.8,74.5,78,72,30,12.3,165,39,0.6875,30.72265625,,,,0,,,,0,120,30.72265625,0,31.01490162,12,98.3208912,367.7896437,0.2673291456,149,126,4.101207883,0,1.30952381,0.1627463446,,,,5
12/6/2025,None,52,63,7,80,76,81,73,4.9,,,0,0,,,,0,,,,0,0,0,30.72265625,0,31.01490162,98.3208912,367.7896437,0.2673291456,,,,,,,,,,
12/7/2025,CB,58,65,6.9,86.4,78,75,85,10.5,,,0,0,,,,0,,,,0,80,0,0,30.72265625,0,98.3208912,367.7896437,0.2673291456,,,,,,,,,33,
12/8/2025,"SH, Bike",45,64,8.7,38.2,75,85,60,15.9,170,46,0.7083333333,38.46643519,,,,0,,,,0,115,38.46643519,0,0,30.72265625,112.2039931,406.2560789,0.2761903117,176,160,4.159470438,0,1.0625,0.1819768317,4:13,0:03,,7
12/9/2025,"Run, CB",40,64,8.3,43.1,79,86,48,18.7,,,0,0,484,0.7438016529,65,48.34710744,,,,0,165,48.34710744,38.46643519,0,0,148.5511005,454.6031863,0.3267709179,196,166,3.433504274,2.915662651,0,0.1964957265,,,,9.5
12/10/2025,"SH, Bike",35,66,9.7,4.7,78,90,42,14.3,135,71,0.5625,37.44140625,,,,0,,,,0,155,37.44140625,48.34710744,38.46643519,0,154.9776051,478.4275713,0.3239311746,173,139,3.712467397,0,0.9712230216,0.1736045905,,,,6.5
12/11/2025,None,40,64,0.4,0,76,89,53,4,,,0,0,,,,0,,,,0,0,0,37.44140625,48.34710744,38.46643519,154.9776051,478.4275713,0.3239311746,,,,,,,,,,
12/12/2025,"SH, Run",43,61,9.4,0,67,85,63,15.6,,,0,0,460,0.7826086957,47.5,37.17391304,,,,0,150,37.17391304,0,37.44140625,48.34710744,161.4288619,515.6014844,0.3130884352,192,145,3.900584795,3.172413793,0,0.201754386,,,,7.5
12/13/2025,"CB, Bike",40,65,8.8,0,77,90,54,14.7,170,27,0.7083333333,22.578125,,,,0,,,,0,140,22.578125,37.17391304,0,37.44140625,184.0069869,485.6796094,0.3788649624,182,165,7.307958478,0,1.03030303,0.3100346021,,,,7
12/14/2025,Run,45,63,8.4,11,83,92,70,8.8,,,0,0,570,0.6315789474,33,20.84210526,,,,0,30,20.84210526,22.578125,37.17391304,0,204.8490922,459.855048,0.4454644851,173,142,6.813131313,4.014084507,0,0.1919191919,,,67.3,4
12/15/2025,None,46,62,8.5,0,84,95,78,4.8,,,0,0,,,,0,,,,0,0,0,20.84210526,22.578125,37.17391304,166.382657,432.0404784,0.3851089546,,,,,,,3:35,0:50,,
12/16/2025,"SH, Run, Bike",54,60,8.5,0,89,99,90,17.6,130,70,0.5416666667,34.23032407,500,0.72,75,54,,,,0,190,88.23032407,0,20.84210526,22.578125,206.2658736,520.2708025,0.3964586762,196,139,1.577688867,3.591954023,0.933908046,0.08273799373,,,,7.3
